,total,taxonomy
UNI9380,1877,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;Rothia mucilaginosa ATCC 25296
UNI814,1796,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae(F);uncultured bacterium
UNI8028,1743,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter guillouiae
UNI8470,1700,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Nosocomiicoccus;uncultured bacterium
UNI8320,1683,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Empedobacter;Empedobacter falsenii
UNI9141,1657,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Empedobacter;Flavobacterium sp. IICDBZ3
UNI10787,1645,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;uncultured bacterium
UNI8580,1630,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus M0113
UNI7594,1535,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas nitritireducens
UNI862,1356,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae(F);uncultured bacterium
UNI9828,1302,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;uncultured bacterium
UNI9061,1265,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;uncultured Pelomonas sp.
UNI9913,1224,Bacteria;Chloroflexi;Chloroflexi Incertae Sedis;Unknown Order;Unknown Family;Thermobaculum;Thermobaculum terrenum
UNI8288,1222,Bacteria;Cyanobacteria;Chloroplast;Pardosa pseudoannulata
UNI10603,1186,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas kerstersii
