,Px10,Px11,Px12,Px13,Px14,Px15,Px16,Px17,Px18,Px19,Px1,Px20,Px21,Px22,Px23,Px24,Px25,Px26,Px27,Px28,Px29,Px2,Px30,Px31,Px32,Px33,Px34,Px35,Px36,Px37,Px38,Px39,Px3,Px40,Px4,Px5,Px6,Px7,Px8,Px9,N1,N2,N3,N4,N5,N6,N7,N8
UNI6880,0,0,1,0,0,0,0,0,0,0,0,2794,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
UNI8008,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNI6719,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI7325,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,2124,0,0,0,0,0,0,0,0
UNI8625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI6945,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,822,0,0,0,0,0,0,0,0,0,0
UNI6781,0,0,27,0,0,0,0,0,129,0,0,0,0,0,146,20,0,3,0,0,0,0,0,0,2,4,3,0,0,0,0,3,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI7747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI9380,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1309,1,0,0,0,0,0,0,0,0,0,0,2,557,0,0,0,2,0,0,0,0
UNI814,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,1743,0,0,0,0,0,0,0,0,0,0
UNI8028,0,0,0,0,0,0,0,1741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI8470,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,0,0,0,0,0,0,0,0
UNI8320,0,0,0,0,0,108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1570,0,0,0,0,0,0,0,0
UNI9141,0,0,0,0,0,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
UNI10787,0,0,22,0,0,0,0,0,1324,0,0,0,0,0,107,1,0,0,1,0,0,0,0,0,0,1,35,1,0,0,0,0,1,31,0,0,0,0,121,0,0,0,0,0,0,0,0,0
UNI8580,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,1526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNI7594,1525,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1333,0,0,0,0,0,0,0,0,0,0
UNI9828,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,0,0,0,0,3,0,0,0,0,0,0,0,0
UNI9061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI9913,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI8288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
UNI10603,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNI10576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI9284,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0
UNI9108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,950,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNI10861,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI11551,0,0,32,0,0,0,0,0,95,0,0,0,0,0,464,0,0,0,3,0,0,0,0,0,0,0,54,5,0,0,0,0,0,45,0,0,3,0,259,0,0,0,0,0,0,0,0,0
UNI12401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI9358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
